type,title
D,Driving trailer
N,Non-control motor
T,Trailer
OD,Driving trailer
ON,Non-control motor
ONL,Non-control motor + lavatory
C,Control motor
DD,Driving trailer
DNL,Non-driving motor (lavatory)
DT,Non-driving trailer
DN,Non-driving motor
DND,Non-driving motor (luggage rack)
DDA,Driving trailer (ATP)
DCF,Control motor
DDC,Control motor
DTF,Trailer
DTC,Trailer
DCM,Control motor
DCT,Trailer
DIM,Control motor
DIT,Trailer
DJM,Control motor
DKM,Control motor
DKT,Trailer
TE,Control motor + toilet
LE,Control motor + luggage area
HM,Control motor
HMT,Control motor + toilet
