set,type,img,href
A,D,waratah-1-driving-carriage.jpg,#accordion-trailer-driving-carriage-content
A,N,waratah-2-motor-carriage.jpg,#accordion-motor-carriage-content
A,T,waratah-3-trailer-carriage.jpg,#accordion-trailer-carriage-content
B,D,waratah-1-driving-carriage.jpg,#accordion-trailer-driving-carriage-content
B,N,waratah-2-motor-carriage.jpg,#accordion-motor-carriage-content
B,T,waratah-3-trailer-carriage.jpg,#accordion-trailer-carriage-content
M,D,millenium-1-control-trailer-carriage.jpg,#accordion-control-trailer-carriage-content
M,N,millenium-2-non-control-motor-carriage.jpg,#accordion-non-control-motor-carriage-content
H,OD,oscar-1-control-trailer-carriage.jpg,#accordion-control-trailer-carriage-content
H,ON,oscar-2-motor-carriage.jpg,#accordion-motor-carriage-content
H,ONL,oscar-3-motor-carriage-wtoilet.jpg,#accordion-motor-carriage-with-toilet-content
T,D,tangara-1-control-trailer-carriage.jpg,#accordion-control-motor-carriage-content
T,N,tangara-2-motor-carriage.jpg,#accordion-motor-carriage-content
G,OD,tangara-1-control-trailer-carriage.jpg,#accordion-control-motor-carriage-content
G,ON,tangara-2-motor-carriage.jpg,#accordion-motor-carriage-content
G,ONL,tangara-2-motor-carriage.jpg,#accordion-motor-carriage-content
C,C,cset-1-control-motor-carriage.jpg,#accordion-control-motor-content
C,T,cset-2-trailer-carriage.jpg,#accordion-trailer-carriage-content
K,C,kset-1-control-motor-carriage.jpg,#accordion-control-motor-carriage-content
K,D,kset-1-control-motor-carriage.jpg,#accordion-control-motor-carriage-content
K,T,kset-2-trailer-carriage.jpg,#accordion-trailer-carriage-content
S,C,sset-1-control-motor-carriage.jpg,#accordion-control-motor-carriage-content
S,D,sset-1-control-motor-carriage.jpg,#accordion-control-motor-carriage-content
S,T,sset-2-trailer-carriage.jpg,#accordion-trailer-carriage-content
V,DCF,vset-1-control-trailer-carriage.jpg,#accordion-control-motor-carriage-content
V,DDC,vset-1-control-trailer-carriage.jpg,#accordion-control-motor-carriage-content
V,DTF,vset-2-trailer-carriage.jpg,#accordion-trailer-carriage-content
V,DTC,vset-2-trailer-carriage.jpg,#accordion-trailer-carriage-content
V,DCM,vset-1-control-trailer-carriage.jpg,#accordion-control-motor-carriage-content
V,DCT,vset-2-trailer-carriage.jpg,#accordion-trailer-carriage-content
V,DIM,vset-1-control-trailer-carriage.jpg,#accordion-control-motor-carriage-content
V,DIT,vset-2-trailer-carriage.jpg,#accordion-trailer-carriage-content
V,DJM,vset-1-control-trailer-carriage.jpg,#accordion-control-motor-carriage-content
V,DKM,vset-1-control-trailer-carriage.jpg,#accordion-control-motor-carriage-content
V,DKT,vset-2-trailer-carriage.jpg,#accordion-trailer-carriage-content
Endeavour,TE,endeavour-1-control-motor-carriage-wtoilet.jpg,#accordion-te-control-motor-carriage-with-toilet-content
Endeavour,LE,endeavour-2-control-motor-carriage-wluggage.jpg,#accordion-le-control-motor-carriage-with-luggage-area-content
Hunter,HM,hunter-1-control-motor-carriage.jpg,#accordion-control-motor-carriage-content
Hunter,HMT,hunter-2-control-motor-carriage-wtoilet.jpg,#accordion-motor-carriage-with-toilet-content
