set,type,start,end,extra,notes
A,D,6301,6380,,
A,D,6401,6480,,
A,N,5301,5380,,
A,N,5401,5480,,
A,N,5501,5580,,
A,N,5601,5680,,
A,T,6501,6580,,
A,T,6601,6680,,
M,D,1001,1073,,
M,N,1501,1573,,
H,OD,6901,6999,,
H,OD,6843,6854,,
H,ON,5901,5949,,
H,ON,5821,5826,,
H,ONL,5951,5999,,
H,ONL,5871,5876,,
T,D,6101,6289,,
T,N,5101,5285,,
T,D,6801,6841,TG,Converted G set (confirmed)
T,N,5801,5820,TG,Converted G set (unconfirmed)
T,N,5851,5870,TG,Converted G set (unconfirmed)
G,OD,6801,6841,TG,
G,ON,5801,5820,TG,
G,ONL,5851,5870,TG,
C,C,3581,3608,,
C,T,4247,4274,,
K,C,3501,3580,,
K,D,4096,4099,,
K,T,4171,4246,,
S,C,3805,3986,,
S,C,3741,3765,,
S,C,3001,3080,,
S,D,4011,4095,,
S,T,4101,4170,,
S,T,4921,4987,,
V,DCF,8001,8008,VS1,
V,DDC,9001,9004,VS1,
V,DTF,9011,9012,VS1,
V,DTC,9021,9022,VS1,
V,DCM,8021,8036,VS2,
V,DCT,9031,9044,VS2,
V,DIM,8037,8092,VS3,
V,DIT,9101,9184,VS3,
V,DIM,8069,8092,VS4,
V,DIT,9115,9138,VS4,
V,DJM,8093,8108,VS5,
V,DIT,9139,9154,VS5,
V,DJM,8109,8123,VS6,
V,DIT,9155,9169,VS6,
V,DJM,8124,8138,VS7,
V,DIT,9170,9184,VS7,
V,DKM,8139,8145,VS8,
V,DKT,9185,9191,VS8,
Endeavour,TE,2801,2815,,
Endeavour,LE,2851,2865,,
Hunter,HM,2701,2707,,
Hunter,HMT,2751,2757,,
B,D,1101,1124,,
B,D,1201,1224,,
B,T,1301,1324,,
B,T,1401,1424,,
B,N,1601,1624,,
B,N,1701,1724,,
B,N,1801,1824,,
B,N,1901,1924,,
